loser_age,loser_id,loser_name,loser_rank,winner_age,winner_id,winner_name,winner_rank
19.37577002,203051,Satomi Kinjo,479,18.2696783,203105,I Ting Wang,572
17.64818617,200069,Nadia Petrova,76,20.23271732,201324,Irina Selyutina,189
19.02258727,200011,Katarina Srebotnik,59,25.98494182,200051,Irina Spirlea,37
17.25941136,200764,Elena Bovina,175,18.42847365,201204,Iroda Tulyaganova,166
18.83093771,201204,Iroda Tulyaganova,79,23.23613963,200723,Iva Majoli,109
23.86584531,200088,Adriana Gersi,66,23.62765229,200101,Jana Kandarr,108
26.68583162,200020,Lisa Raymond,28,25.85626283,200012,Jana Nejedly,85
21.06776181,200767,Holly Parkinson,102,23.37029432,200091,Janet Lee,111
17.86173854,201296,Bianka Lamade,201,26.09993155,200697,Janette Husarova,194
16.40793977,200111,Lina Krasnoroutskaya,118,17.45653662,200120,Jelena Dokic,31
20.79671458,202185,Anna Bielen Zarska,152,18.83915127,200056,Jelena Kostanic Tosic,92
16.44626968,200111,Lina Krasnoroutskaya,113,24.53114305,200077,Jennifer Capriati,16
25.03764545,200053,Lubomira Bacheva,76,19.10472279,200766,Jennifer Hopkins,124
20.31759069,203079,Diana Gherghi,673,17.73853525,203117,Jenny Belobrajdic,720
24.82683094,200053,Lubomira Bacheva,73,25.50034223,200754,Jill Craybas,175
23.99726215,200076,Laurence Courtois,80,25.88364134,200075,Jing Qian Yi,137
18.54346338,200108,Elena Dementieva,31,26.65845311,200682,Joannette Kruger,90
27.45242984,200666,Marion Maruska,159,24.02190281,200018,Julia Abe,156
24.58316222,200106,Angeles Montolio,55,29.48665298,200112,Julie Halard Decugis,10
25.5742642,200074,Jane Chi,107,24.19986311,200073,Julie Pullin,174
24.04654346,201867,Magdalena Kucerova,251,18.39561944,200003,Justine Henin,42
18.93497604,200056,Jelena Kostanic Tosic,80,26.31074606,201088,Karen Cross,237
21.2128679,200070,Anne Gaelle Sidot,28,27.18685832,200006,Karina Habsudova,107
23.43600274,200121,Alina Jidkova,93,20.62149213,200765,Katalin Marosi,108
23.84668036,200088,Adriana Gersi,64,19.137577,200011,Katarina Srebotnik,80
28.90622861,200017,Arantxa Sanchez Vicario,8,17.43463381,200079,Kim Clijsters,19
20.54209446,204465,Susanne Filipp,549,18.44490075,203089,Kristen Van Elden,666
21.45927447,200732,Magdalena Grzybowska,146,26.39288159,200082,Kristie Boogert,58
27.23066393,200059,Ruxandra Dragomir Ilie,20,22.80355921,200062,Kristina Brandi,54
